18 00:20:22 |     NJ4X-2 | INFO  | Client EURUSD.1440.20019655(International Capital Markets Pty Ltd.)/48 MQLv2.6.4@com.jfx.MyStrategy:0,0,0,0,0,0,0,0,0,02.6.4 connected.
18 00:20:23 |     NJ4X-2 | INFO  | MT4TerminalConnection: Client EURUSD.1440.20019655(International Capital Markets Pty Ltd.)/48 MQLv2.6.4@com.jfx.MyStrategy:0,0,0,0,0,0,0,0,0,0 [i/o=33/139] disconnected
18 00:20:23 |     NJ4X-2 | INFO  | MT4TerminalConnection: Client EURUSD.1440.20019655(International Capital Markets Pty Ltd.)/48 MQLv2.6.4@com.jfx.MyStrategy:0,0,0,0,0,0,0,0,0,0 [i/o=33/147] disconnected
18 00:21:59 |     NJ4X-3 | INFO  | Client EURUSD.1440.20019655(International Capital Markets Pty Ltd.)/49 MQLv2.6.4@com.jfx.MyStrategy:0,0,0,0,0,0,0,0,0,02.6.4 connected.
18 00:22:00 |     NJ4X-3 | INFO  | MT4TerminalConnection: Client EURUSD.1440.20019655(International Capital Markets Pty Ltd.)/49 MQLv2.6.4@com.jfx.MyStrategy:0,0,0,0,0,0,0,0,0,0 [i/o=33/139] disconnected
18 00:22:00 |     NJ4X-3 | INFO  | MT4TerminalConnection: Client EURUSD.1440.20019655(International Capital Markets Pty Ltd.)/49 MQLv2.6.4@com.jfx.MyStrategy:0,0,0,0,0,0,0,0,0,0 [i/o=33/147] disconnected
18 00:22:39 |     NJ4X-1 | INFO  | Client EURUSD.1440.20019655(International Capital Markets Pty Ltd.)/50 MQLv2.6.4@com.jfx.MyStrategy:0,0,0,0,0,0,0,0,0,02.6.4 connected.
18 00:25:48 |     NJ4X-2 | INFO  | MT4TerminalConnection: Client EURUSD.1440.20019655(International Capital Markets Pty Ltd.)/50 MQLv2.6.4@com.jfx.MyStrategy:0,0,0,0,0,0,0,0,0,0 [i/o=33/139] disconnected
18 00:25:48 |     NJ4X-2 | INFO  | MT4TerminalConnection: Client EURUSD.1440.20019655(International Capital Markets Pty Ltd.)/50 MQLv2.6.4@com.jfx.MyStrategy:0,0,0,0,0,0,0,0,0,0 [i/o=33/147] disconnected
18 00:45:08 |     NJ4X-1 | INFO  | Client EURUSD.60.20019655(International Capital Markets Pty Ltd.)/52 MQLv2.6.4@com.jfx.MyStrategy:0,0,0,0,0,0,0,0,0,02.6.4 connected.
18 00:45:09 |     NJ4X-1 | INFO  | MT4TerminalConnection: Client EURUSD.60.20019655(International Capital Markets Pty Ltd.)/52 MQLv2.6.4@com.jfx.MyStrategy:0,0,0,0,0,0,0,0,0,0 [i/o=166/728] disconnected
18 00:45:09 |     NJ4X-1 | INFO  | MT4TerminalConnection: Client EURUSD.60.20019655(International Capital Markets Pty Ltd.)/52 MQLv2.6.4@com.jfx.MyStrategy:0,0,0,0,0,0,0,0,0,0 [i/o=166/737] disconnected
18 00:46:46 |     NJ4X-1 | INFO  | Client EURUSD.60.20019655(International Capital Markets Pty Ltd.)/53 MQLv2.6.4@com.jfx.MyStrategy:0,0,0,0,0,0,0,0,0,02.6.4 connected.
18 00:46:49 |     NJ4X-1 | INFO  | MT4TerminalConnection: Client EURUSD.60.20019655(International Capital Markets Pty Ltd.)/53 MQLv2.6.4@com.jfx.MyStrategy:0,0,0,0,0,0,0,0,0,0 [i/o=154/330] disconnected
18 00:46:49 |     NJ4X-1 | INFO  | MT4TerminalConnection: Client EURUSD.60.20019655(International Capital Markets Pty Ltd.)/53 MQLv2.6.4@com.jfx.MyStrategy:0,0,0,0,0,0,0,0,0,0 [i/o=154/339] disconnected
18 00:48:07 |     NJ4X-2 | INFO  | Client EURUSD.60.20019655(International Capital Markets Pty Ltd.)/54 MQLv2.6.4@com.jfx.MyStrategy:0,0,0,0,0,0,0,0,0,02.6.4 connected.
18 00:48:10 |     NJ4X-2 | INFO  | MT4TerminalConnection: Client EURUSD.60.20019655(International Capital Markets Pty Ltd.)/54 MQLv2.6.4@com.jfx.MyStrategy:0,0,0,0,0,0,0,0,0,0 [i/o=154/330] disconnected
